Code,Year,Electoral democracy index
AGO,1904,0.009
AGO,1905,0.009
AGO,1906,0.009
AGO,1907,0.009
AGO,1908,0.009
AGO,1909,0.009
AGO,1910,0.009
AGO,1911,0.009
AGO,1912,0.009
AGO,1913,0.009
AGO,1914,0.009
AGO,1915,0.009
AGO,1916,0.009
AGO,1917,0.009
AGO,1918,0.009
AGO,1919,0.009
AGO,1920,0.009
AGO,1921,0.009
AGO,1922,0.009
AGO,1923,0.009
AGO,1924,0.009
AGO,1925,0.009
AGO,1926,0.009
AGO,1927,0.009
AGO,1928,0.009
AGO,1929,0.009
AGO,1930,0.009
AGO,1931,0.009
AGO,1932,0.009
AGO,1933,0.009
AGO,1934,0.009
AGO,1935,0.009
AGO,1936,0.009
AGO,1937,0.009
AGO,1938,0.009
AGO,1939,0.009
AGO,1940,0.009
AGO,1941,0.009
AGO,1942,0.009
AGO,1943,0.009
AGO,1944,0.009
AGO,1945,0.009
AGO,1946,0.009
AGO,1947,0.009
AGO,1948,0.009
AGO,1949,0.009
AGO,1950,0.009
AGO,1951,0.009
AGO,1952,0.009
AGO,1953,0.009
AGO,1954,0.009
AGO,1955,0.009
AGO,1956,0.009
AGO,1957,0.009
AGO,1958,0.009
AGO,1959,0.009
AGO,1960,0.009
AGO,1961,0.009
AGO,1962,0.009
AGO,1963,0.009
AGO,1964,0.009
AGO,1965,0.009
AGO,1966,0.009
AGO,1967,0.009
AGO,1968,0.009
AGO,1969,0.01
AGO,1970,0.01
AGO,1971,0.01
AGO,1972,0.01
AGO,1973,0.022
AGO,1974,0.022
AGO,1975,0.074
AGO,1976,0.074
AGO,1977,0.073
AGO,1978,0.073
AGO,1979,0.073
AGO,1980,0.073
AGO,1981,0.073
AGO,1982,0.073
AGO,1983,0.073
AGO,1984,0.073
AGO,1985,0.073
AGO,1986,0.074
AGO,1987,0.074
AGO,1988,0.074
AGO,1989,0.074
AGO,1990,0.076
AGO,1991,0.084
AGO,1992,0.15
AGO,1993,0.158
AGO,1994,0.158
AGO,1995,0.158
AGO,1996,0.158
AGO,1997,0.158
AGO,1998,0.158
AGO,1999,0.158
AGO,2000,0.158
AGO,2001,0.159
AGO,2002,0.165
AGO,2003,0.178
