Code,Year,GDP Per Capita,,
DMA,1955,1130,,
DOM,1955,1886,,
ECU,1955,3349,,
EGY,1955,1411,,
SLV,1955,2590,,
GNQ,1955,915,,
SWZ,1955,663,,
ETH,1955,673,,
FIN,1955,8284,,
,1955,1446,,
FRA,1955,9881,,
GAB,1955,3437,,
GMB,1955,1074,,
DEU,1955,9240,,
GHA,1955,1913,,
GRC,1955,4007,,
GTM,1955,3170,,
GIN,1955,598,,
GNB,1955,622,,
HTI,1955,1776,,
HND,1955,1986,,
HKG,1955,4280,,
HUN,1955,4894,,
ISL,1955,10096,,
IND,1955,1078,,
IDN,1955,1537,,
IRN,1955,2397,,
IRQ,1955,3663,,
IRL,1955,6248,,
ISR,1955,5899,,
ITA,1955,7453,,
JAM,1955,3220,,
JPN,1955,4417,,
JOR,1955,2590,,
KEN,1955,1144,,
KWT,1955,51417,,
LAO,1955,738,,
LBN,1955,7010,,
LSO,1955,719,,
LBR,1955,3454,,
LBY,1955,807,,
LUX,1955,13818,,
MDG,1955,1677,,
MWI,1955,564,,
MYS,1955,2327,,
MLI,1955,791,,
MLT,1955,1930,,
MRT,1955,776,,
MUS,1955,4095,,
MEX,1955,4060,,
MNG,1955,786,,
MNE,1955,2099,,
MAR,1955,2364,,
MOZ,1955,2007,,
MMR,1955,744,,
NAM,1955,4288,,
NPL,1955,894,,
NLD,1955,11678,,
NZL,1955,13908,,
NIC,1955,3288,,
NER,1955,1082,,
NGA,1955,1379,,
MKD,1955,2766,,
NOR,1955,10044,,
OMN,1955,1221,,
PAK,1955,1012,,
PSE,1955,1867,,
PAN,1955,2766,,
PRY,1955,2299,,
PER,1955,4309,,
PHL,1955,2165,,
POL,1955,4454,,
PRT,1955,3945,,
PRI,1955,4221,,
QAT,1955,49632,,
ROU,1955,2515.1223,,
RUS,1955,4312.621,,
RWA,1955,1138,,
LCA,1955,1400,,
STP,1955,1191,,
SAU,1955,4658,,
SEN,1955,2179,,
SRB,1955,2584,,
SYC,1955,2979,,
SLE,1955,1044,,
SGP,1955,2946,,
SVN,1955,5002,,
ZAF,1955,4511,,
KOR,1955,1411.3336,,
ESP,1955,4436.738,,
LKA,1955,2131,,
SWE,1955,12060,,
CHE,1955,13999.488,,
SYR,1955,4844,,
TWN,1955,1895,,
TZA,1955,733,,
